ensembl_id	name	chromosome	description	feature_type	strand	start	end
SPAC1002.01	SPAC1002.01	I	conserved fungal protein 	protein_coding	1	1798347	1799015
SPAC1002.02	pom34	I	nucleoporin Pom34 	protein_coding	1	1799061	1800053
SPAC1002.03c	gls2	I	glucosidase II alpha subunit Gls2 	protein_coding	-1	1799915	1803141
SPAC1002.04c	taf11	I	transcription factor TFIID complex subunit Taf11 (predicted) 	protein_coding	-1	1803624	1804491
SPAC1002.05c	jmj2	I	histone demethylase Jmj2 	protein_coding	-1	1804548	1806797
SPAC1002.06c	bqt2	I	bouquet formation protein Bqt2 	protein_coding	-1	1807270	1807781
SPAC1002.07c	ats1	I	N-acetyltransferase Ats1 (predicted) 	protein_coding	-1	1807996	1809433
SPAC1002.08c	mtf1	I	mitochondrial RNA polymerase specificity factor Mtf1 	protein_coding	-1	1809480	1811361
SPAC1002.09c	dld1	I	dihydrolipoamide dehydrogenase Dld1 	protein_coding	-1	1811408	1813805
SPAC1002.10c	sgt1	I	SGT1 family transcriptional regulator Sgt1 	protein_coding	-1	1813740	1815796
SPAC1002.11	gaa1	I	GPI-anchor transamidase complex subunit Gaa1 (predicted) 	protein_coding	1	1816490	1818558
SPAC1002.12c	SPAC1002.12c	I	succinate-semialdehyde dehydrogenase [NAD(P)+] (predicted) 	protein_coding	-1	1818482	1820420
SPAC1002.13c	psu1	I	cell wall protein Psu1, beta-glucosidase (predicted) 	protein_coding	-1	1821401	1823413
SPAC1002.14	itt1	I	ubiquitin-protein ligase E3 (predicted) 	protein_coding	1	1824570	1826248
SPAC1002.15c	med6	I	mediator complex subunit Med6 	protein_coding	-1	1824486	1827260
SPAC1002.16c	SPAC1002.16c	I	nicotinic acid plasma membrane transporter (predicted) 	protein_coding	-1	1827612	1829708
SPAC1002.17c	urg2	I	uracil phosphoribosyltransferase (predicted) 	protein_coding	-1	1830609	1831951
SPAC1002.18	urg3	I	DUF1688 family protein 	protein_coding	1	1832317	1833811
SPAC1002.19	urg1	I	GTP cyclohydrolase II Urg1 (predicted) 	protein_coding	1	1835270	1837060
SPAC1002.20	SPAC1002.20	I	Schizosaccharomyces pombe specific protein 	protein_coding	1	1823882	1824630
SPAC1006.01	psp3	I	vacuolar serine protease Psp3 (predicted) 	protein_coding	1	5067494	5069371
SPAC1006.02	asa1	I	Astra associated protein 1 Asa1 	protein_coding	1	5069559	5070998
SPAC1006.03c	red1	I	RNA elimination defective protein Red1 	protein_coding	-1	5070931	5074055
SPAC1006.04c	mcp3	I	Schizosaccharomyces specific protein Mcp3 	protein_coding	-1	5074102	5078206
SPAC1006.05c	och1	I	alpha-1,6-mannosyltransferase Och1 	protein_coding	-1	5078289	5080499
SPAC1006.06	rgf2	I	RhoGEF Rgf2 	protein_coding	1	5080718	5085055
